idx,process,process_general,origin,origin_region,roast,grind,arabica_percentage,pure_arabica,washed,natural,fermented_traditional,fermented_closed_tank,brewing_method
54,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
55,Natural,Natural,Indonezja,Asia,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
56,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
57,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
58,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
59,Honey,Honey,Etiopia,Africa,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
60,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
61,Natural,Natural,Kolumbia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
62,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
63,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
64,Washed,Washed,Chiny,Asia,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
65,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
66,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
67,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
68,Washed,Washed,Indonezja,Asia,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
69,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
70,Washed,Washed,Mjanma,Asia,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
71,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
72,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
73,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
74,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
75,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
76,Honey,Honey,Brazylia,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
77,Pulped natural,Hybrid,Brazylia,Latam,light,beans,100,TRUE,TRUE,TRUE,FALSE,FALSE,drip
78,Washed,Washed,Burundi,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
79,Natural,Natural,Kostaryka,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
80,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
81,Natural,Natural,Gwatemala,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
82,Natural,Natural,Gwatemala,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
83,Honey,Honey,Honduras,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
84,Washed,Washed,Indonezja,Asia,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
85,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
86,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
87,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
88,Macerated Natural,Fermented,Peru,Latam,light,beans,100,TRUE,FALSE,TRUE,TRUE,FALSE,drip
89,Natural,Natural,Peru,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
90,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
91,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
92,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
93,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
94,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
95,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
96,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
97,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
98,Yellow Bourbon,Fermented,Brazylia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
99,Natural,Natural,Salwador,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
100,Natural,Natural,"Brazylia, Kenia",Mixed,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
101,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
102,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
103,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
104,Washed,Washed,Brazylia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
105,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
106,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
107,Aerobic Fermentation in Piles,Fermented,Brazylia,Latam,light,beans,100,TRUE,FALSE,FALSE,TRUE,FALSE,drip
108,Yeast Process,Fermented,Salwador,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
109,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
110,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
111,Honey,Honey,Etiopia,Africa,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
112,Washed Anaerobic,Fermented,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,TRUE,drip
113,Washed,Washed,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
114,Carbonic Maceration,Fermented,Kolumbia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
115,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
116,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
117,Natural,Natural,Meksyk,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
118,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
119,Semi-Carbonic Maceration,Fermented,Peru,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
120,Semi-Carbonic Maceration,Fermented,"Brazylia, inne",Mixed,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
121,Semi-Carbonic Maceration,Fermented,"Brazylia, inne",Mixed,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
122,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
123,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
124,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
125,Semi-washed,Semi-washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
126,Semi-washed,Semi-washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
127,Semi-washed,Semi-washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
128,Semi-washed,Semi-washed,"Honduras, Kolumbia, Peru",Latam,light,ground,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
129,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
130,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
131,Washed,Washed,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
132,Honey,Honey,Meksyk,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
133,Anaerobic,Fermented,Kolumbia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
134,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
135,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
136,Washed,Washed,Burundi,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
137,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
138,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
139,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
140,Natural,Natural,Kostaryka,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
141,Honey,Honey,Kostaryka,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
142,Natural,Natural,Nikaragua,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
143,Anaerobic natural,Fermented,Salwador,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,TRUE,drip
144,Natural,Natural,Uganda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
145,Natural,Natural,Uganda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
146,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
147,Washed,Washed,Burundi,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
148,Natural,Natural,Burundi,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
149,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
150,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
151,Natural,Natural,Kolumbia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
152,Natural,Natural,Salwador,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
153,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
154,Washed,Washed,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
155,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
156,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
157,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
158,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
159,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
160,Anaerobic,Fermented,Kolumbia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
161,Rum Aged,Fermented,Kolumbia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
162,Macerated Natural,Fermented,Honduras,Latam,light,beans,100,TRUE,FALSE,TRUE,TRUE,FALSE,drip
163,Macerated Natural,Fermented,Honduras,Latam,light,beans,100,TRUE,FALSE,TRUE,TRUE,FALSE,drip
164,Anaerobic,Fermented,Salwador,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
165,Washed,Washed,Boliwia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
166,Natural,Natural,Panama,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
167,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
168,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
169,CRYO,CRYO,Brazylia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
170,Natural,Natural,Burundi,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
171,Washed,Washed,Kolumbia,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
172,Yeast Process,Fermented,Salwador,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,TRUE,drip
173,Natural,Natural,Rwanda,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
